[2024-12-12 09:24:25,403][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,404][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,405][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,406][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,408][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,409][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,410][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,411][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,412][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,413][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,414][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,415][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,416][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,417][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,419][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,420][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,421][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,422][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,423][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,424][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,425][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
