[2024-12-12 09:18:44,962][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,963][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,964][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,967][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,335][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,337][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,338][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,340][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,341][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,342][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,344][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,346][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,347][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,348][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,349][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,350][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,351][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,353][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,354][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
