[2024-12-11 18:18:37,343][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:37,559][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:37,773][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:37,990][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:38,211][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:38,427][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:38,639][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:38,858][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:39,075][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:39,291][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:39,509][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:39,724][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:39,939][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:40,157][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:40,376][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:40,596][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:40,809][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:41,022][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:41,236][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:41,450][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:41,669][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:41,883][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:42,098][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:42,317][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:42,527][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:42,744][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:42,963][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:43,177][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:43,394][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:43,610][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:43,828][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:44,048][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:44,265][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:44,482][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:44,699][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:44,918][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
