[2024-12-12 09:30:03,357][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,358][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,359][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,361][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,362][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,363][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,364][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,366][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,367][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,368][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,369][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,370][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,371][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,372][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,374][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,375][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,376][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,377][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,378][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,380][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,381][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,382][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,384][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,385][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,386][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,388][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,389][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,390][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,391][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,393][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,394][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,396][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,397][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,398][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,400][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,401][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,402][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,403][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,405][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,406][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,407][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,408][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,410][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,411][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,412][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,413][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,415][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,416][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,417][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,418][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,420][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,421][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,422][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,423][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,425][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,426][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,427][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,429][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,430][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,431][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,432][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,433][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,435][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,436][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,437][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,439][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,440][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,441][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,442][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,443][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,445][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,446][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
